Tweet Id,Event,ON,NOT
1.43246E+18,"Get the latest on the #wildfires burning in California, upcoming fire weather and how you can be prepared! ",0,1
1.43245E+18,"Assisting/Not a CAL FIRE Incident: #K_RailFire near Tish Tang Ridge, southeast of Hoopa in Humboldt County. Lead Agency: @SixRiversNF &amp; @HoopaTribe 

 ",0,1
1.43211E+18,Assisting/Not a CAL FIRE incident: #RailroadFire off NB I-15 and Baldy Mesa in San Bernardino County. Lead agency: @SanBernardinoNF. For more information:,0,1
1.43206E+18,Video from the #Chaparralfire burning in Riverside and San Diego counties shows the conditions that firefighters are facing in the 2021 fire season. Do your part to prevent wildfires. #California #CALFIRE #Wildfire #OneLessSpark #Prevent Video credit: Jeff Hall,0,1
1.43173E+18,"Assisting/Not a CAL FIRE incident: #RoadsideFire near Keenbrook Road and Cajon Blvd., Cajon Pass in San Bernardino County is 50 acres. Lead agency: @SanBernardinoNF and @SBCOUNTYFIRE 
For more information:  ",0,1
1.4317E+18,"🦇 CAL FLYER 🦇
Littlest Evacuee Finds Temporary Shelter with CAL FIRE

A @CALFIRECZU fire engine became this little guy’s “batmobile” after seeking refuge from the Dixie Fire in Plumas County. 

The bat was uninjured and eventually flew away. 

 ",0,1
1.43101E+18,Thank you @CalGuard for your continued partnership.,0,1
1.43095E+18,"Even if a fire is not active near you, #smoke being generated from one of the large wildfires burning throughout California may be effecting the air quality in your area. Stay safe and smoke aware by visiting  for real-time air quality information. ",0,1
1.4306E+18,"As fire activity continues to increase across California, there may be questions about specific resources related to the fires. Watch the video to learn who you should contact about volunteer opportunities, road closures, etc! ",0,1
1.42996E+18,"Get the latest on the #wildfires burning in California, upcoming fire weather and how you can be prepared! ",0,1
1.4291E+18,"As firefighters continue to battle large wildfires, the use of fire retardant is a critical tool used to support fire line personnel. Already this year over 10 million gallons of retardant has been used. Lean more on the use of wildland fire retardant:  ",0,1
1.42875E+18,Thank you @CalGuard for your continued partnership.,0,1
1.42875E+18,Looking for information and resource on a specific wildfire in your area?  This video provides information on how to navigate our website at  to find specific details related to active fires across the state.,0,1
1.42849E+18,"#NationalAviationDay is an opportunity to highlight the benefits aerial firefighting resources provide us when battling wildfires. These aircraft, along with highly skilled pilots &amp; aviation support staff, are strategically used tools that provide aerial support to firefighters. ",0,1
1.42845E+18,"Have a question or need information on one of the large active wildfires in northern California?  Public information lines for the Dixie Fire, Monument Fire, McFarland Fire, and Caldor Fire are listed on our website at  ",0,1
